# Fecha: 2026-03-04 (America/Lima)
# Commit auditado: fde837c
# Alcance: matriz de cobertura RF/CU ↔ BD ↔ Código con evidencias y gaps
ID RF/CU,Estado BD,Estado Código,Tablas/columns involucradas,RPC/Triggers involucrados,RLS requerido,Evidencias,Gap exacto y recomendación concreta
"RF-SUB-003","⚠ parcial","❌ faltante","subscription_contracts.grace_days/read_only_at/suspended_at; tenants.status_financial_id","(sin job/cron transición)","Sí (tenant + estado financiero)","indi-info/SUBS-01-REQ-Gestion-Actores.md:254-263 | indi-info/SUBS-04-CU-Pagos-Facturacion.md:333-402","No existe transición automática a gracia/read-only; implementar scheduler y transición auditada."
"RF-SUB-004","⚠ parcial","❌ faltante","invoices; payment_methods; payment_transactions","(sin endpoints portal)","Sí (tenant + permiso billing)","indi-info/SUBS-01-REQ-Gestion-Actores.md:265-276 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:379-462","No hay portal self-service; exponer endpoints/UX para historial, comprobantes y método de pago."
"RF-AUD-001","✅ completo","⚠ parcial","audit_logs; auth_events","fn_trigger_audit_universal; insertAuditLog; insertAuthEvent","Sí (tenant + lectura por permiso)","indi-info/SUBS-01-REQ-Gestion-Actores.md:279-306 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:486-515,681-747 | server/security/audit.js:24-138","Infra de auditoría existe; cobertura de eventos de negocio (billing/roles/override) aún no implementada en app."
"CU-01","⚠ parcial","⚠ parcial","profiles; tenants; sedes; roles; user_roles_sedes; subscription_contracts; entitlements","fn_bootstrap_tenant","Sí (tenant + actor)","indi-info/SUBS-01-REQ-Gestion-Actores.md:309-366 | src/js/useOnboardingFlow.js:571-617 | src/hooks/useAuthFlow.js:112","Onboarding técnico funciona, pero sin cobro real ni alta provisional cuando falla validación externa."
"CU-02","✅ completo","⚠ parcial","terminals; profiles; sessions; auth_events; audit_logs","evaluateRiskEngine; insertAuthEvent","Sí (tenant + terminal)","indi-info/SUBS-01-REQ-Gestion-Actores.md:367-402 | server/routes/auth.js:382-614","Soporte PIN implementado; falta variante QR y hardening de flujo multi-operador."
"CU-03","⚠ parcial","❌ faltante","roles/role_permissions; audit_logs","(sin endpoint override)","Sí (tenant + supervisor)","indi-info/SUBS-01-REQ-Gestion-Actores.md:403-428 | server/routes/auth.js:66-82","No se implementa autorización supervisor por transacción; crear flujo dedicado con doble autenticación y doble bitácora."
"CU-04","⚠ parcial","❌ faltante","entitlements.max_licenses; sessions; auth_events","(sin control de licencias)","Sí (tenant + rol)","indi-info/SUBS-01-REQ-Gestion-Actores.md:429-446 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:348-356","No existe detección de exceso de licencias en login ni cierre remoto autorizado."
"CU-PAY-01","⚠ parcial","❌ faltante","subscription_changes; payment_transactions; entitlements; tenants.status_financial_id","(sin webhook/orquestador)","Sí (tenant + billing permission)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:1-82,661-672,734-738 | server/routes/audit.js:111","Falta happy path de compra con confirmación verificable; implementar intent, webhook válido e idempotencia."
"CU-PAY-02","⚠ parcial","❌ faltante","subscription_changes; payment_transactions","(sin manejo proveedor caído)","Sí (tenant + billing permission)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:83-142,673-680,742-746","No hay manejo explícito de caída antes de intento; implementar error PAY-001 sin cargo y rollback atómico."
"CU-PAY-03","⚠ parcial","❌ faltante","payment_transactions; subscription_changes; payment_webhook_events","(sin reconciliación activa)","Sí (tenant + billing)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:143-214,681-690,750-754","No existe timeout TTL + verificación activa; implementar scheduler de reconciliación y estados awaiting/applied/failed."
"CU-PAY-04","⚠ parcial","❌ faltante","payment_webhook_events(provider,event_id); payment_transactions.idempotency_key","(sin endpoint webhook)","Sí (tenant + firma webhook)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:215-262,691-694,758-760 | indi-info/SUBS-05-Base-De-Datos-BD-supabase.md:467-480","No hay procesamiento webhook duplicado; implementar endpoint con deduplicación estricta e auditoría duplicate_event."
"CU-PAY-05","⚠ parcial","❌ faltante","payment_transactions; tenants.status_financial_id; audit_logs","(sin verificador de consistencia)","Sí (tenant + integridad financiera)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:263-332,695-704,764-768","No hay verificación monto/moneda/tenant; implementar regla de consistencia y transición a FIN-INCONSISTENT."
"CU-PAY-06","⚠ parcial","❌ faltante","subscription_contracts.grace_days/read_only_at; tenants.status_financial_id","(sin automación de gracia)","Sí (tenant + estado)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:333-402,705-714,772-776","No existe proceso de renovación fallida a gracia/read-only; agregar job programado y recuperación automática por pago."
"CU-PAY-07","⚠ parcial","❌ faltante","payment_transactions; entitlements; tenants.status_financial_id","(sin flujo chargeback)","Sí (tenant + riesgo financiero)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:403-456,715-722,780-782","No hay manejo de chargeback confirmado; implementar revocación de entitlements y transición de estado con auditoría."
"CU-PAY-08","⚠ parcial","❌ faltante","subscription_changes; payment_transactions; tenants.status_financial_id; audit_logs","(sin batch reconciliación)","Sí (tenant + proceso batch)","indi-info/SUBS-04-CU-Pagos-Facturacion.md:457-589,723-731,786-790","No existe reconciliación masiva post-outage; implementar proceso batch idempotente con reporte consolidado."
